trial,start_r,start_c,pickup_r,pickup_c,dropoff_r,dropoff_c,ucs_path_length,ucs_nodes_expanded,ucs_max_frontier_size,ucs_time_sec,astar_path_length,astar_nodes_expanded,astar_max_frontier_size,astar_time_sec,optimality_ok
0,1,10,4,2,1,1,17,47,6,0.00014289998216554523,17,34,10,0.0001092999882530421,True
1,5,10,3,1,3,9,21,71,5,0.0001812000118661672,21,42,15,0.00012500002048909664,True
2,2,9,5,4,5,2,14,48,10,0.0001373999984934926,14,24,9,6.930000381544232e-05,True
3,3,6,5,9,5,6,8,37,8,9.119999594986439e-05,8,13,7,3.6500015994533896e-05,True
4,4,1,3,4,2,2,7,24,8,5.819997750222683e-05,7,10,5,2.7999980375170708e-05,True
5,4,10,5,7,3,9,8,31,7,7.539999205619097e-05,8,15,5,4.05999890062958e-05,True
6,3,1,1,3,2,6,8,28,7,6.820002454333007e-05,8,14,5,3.6999990697950125e-05,True
7,1,6,1,10,1,2,24,79,7,0.00019570000586099923,24,47,13,0.0001306000049225986,True
8,4,1,3,9,3,6,16,52,6,0.00012430001515895128,16,30,13,8.709999383427203e-05,True
9,5,4,2,7,4,5,10,41,10,9.929999941959977e-05,10,21,7,6.0099962865933776e-05,True
